起始視窗 n=4 尾=['[你] Hello', '[你] Test']
[  11.2s] +['[你] Hello']  (視窗 n=3)
[  17.3s] +['[你] Test']  (視窗 n=3)
[  23.2s] +['[你] Hello']  (視窗 n=3)
[  29.0s] +['[你] Test']  (視窗 n=3)
[  34.6s] +['[你] Hello']  (視窗 n=3)
[  40.2s] +['[你] Test']  (視窗 n=3)
[  45.6s] +['[你] Hello']  (視窗 n=3)
[  51.0s] +['[你] Test']  (視窗 n=3)
[  56.8s] +['[你] Hello']  (視窗 n=3)
[  62.8s] +['[你] Test']  (視窗 n=3)
[  68.6s] +['[你] Hello']  (視窗 n=3)
[  74.5s] +['[你] Test']  (視窗 n=3)
[  80.3s] +['[你] Hello']  (視窗 n=3)
[  86.1s] +['[你] Test']  (視窗 n=3)
[  91.7s] +['[你] Hello']  (視窗 n=3)
[  97.5s] +['[你] Test']  (視窗 n=3)
[ 103.0s] +['[你] Hello']  (視窗 n=3)
[ 108.5s] +['[你] Test']  (視窗 n=3)
[ 114.2s] +['[你] Hello']  (視窗 n=3)
[ 120.2s] +['[你] Test']  (視窗 n=3)
[ 126.2s] +['[你] Hello']  (視窗 n=3)
[ 131.9s] +['[你] Test']  (視窗 n=3)
[ 137.7s] +['[你] Hello']  (視窗 n=3)
[ 143.6s] +['[你] Test']  (視窗 n=3)
[ 149.3s] +['[你] Hello']  (視窗 n=3)
[ 154.9s] +['[你] Test']  (視窗 n=3)
done 27 polls
